auction_ending,buying_format,country,currency,details,extra_fields,img_url,item_category,item_main_category,item_main_category_id,item_source_category_id,item_source_sub_category_id,item_sub_category,item_title,item_url,location,make,model,price,price_original,serial_number,source_item_id,state,thumbnail_s3_path,thumbnail_url,vendor_address,vendor_address2,vendor_categories,vendor_city,vendor_comments,vendor_contact,vendor_contact2,vendor_contact2_designation,vendor_contact_designation,vendor_contact_url,vendor_country,vendor_email,vendor_email1,vendor_email2,vendor_email3,vendor_facebook,vendor_fax,vendor_linkedin,vendor_location,vendor_logo_url,vendor_manufacturers,vendor_name,vendor_phone,vendor_phone2,vendor_services,vendor_skype,vendor_state,vendor_twitter,vendor_url,vendor_website,vendor_zipcode,year
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/218599/41209511/41209511_1616802275_250.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/218599/41209511/41209511_1616802275_772.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/218599/41209511/41209511_1616802275_946.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/218599/41209511/41209511_1616802275_248.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/218599/41209511/41209511_1616802275_271.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/218599/41209511/41209511_1616715866_895.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Kubota KX080-4A,https://www.machineryzone.com/used/crawler-excavator/41209511/kubota-kx080-4a.html,USA,Kubota,KX080-4A,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/218599/41209511/41209511_1616715866_674.jpg,,,,,,,,,,,,,,,,,,,USA,,,Pittsfield Lawn & Tractor,,,,,,,,,,2017
,auction,,,,,,Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 315CL,https://www.machineryzone.com/used/crawler-excavator/1/3049/caterpillar.html,,,,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41207478/41207478_1616699591_224.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,auction,,,,,,Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Sany SY335C,https://www.machineryzone.com/used/crawler-excavator/1/9494/sany.html,,,,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41207484/41207484_1616699600_239.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,auction,,,,,,Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 315FL,https://www.machineryzone.com/used/crawler-excavator/1/3049/caterpillar.html,,,,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41208642/41208642_1616701721_669.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,auction,,,,,,Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 330,https://www.machineryzone.com/used/crawler-excavator/1/3049/caterpillar.html,,,,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41208643/41208643_1616701724_727.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,auction,,,,,,Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Komatsu PC490LC-10,https://www.machineryzone.com/used/crawler-excavator/1/3090/komatsu.html,,,,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41208795/41208795_1616702018_826.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,auction,,,,,,Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Komatsu PC270LC-7L,https://www.machineryzone.com/used/crawler-excavator/1/3090/komatsu.html,,,,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41207485/41207485_1616699602_652.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,auction,,,,,,Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Sany SY335C,https://www.machineryzone.com/used/crawler-excavator/1/9494/sany.html,,,,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41207486/41207486_1616699604_861.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,auction,,,,,,Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,JCB 8035ZTS,https://www.machineryzone.com/used/crawler-excavator/1/3514/jcb.html,,,,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41207845/41207845_1616700241_216.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,auction,,,,,,Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 235B,https://www.machineryzone.com/used/crawler-excavator/1/3049/caterpillar.html,,,,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41207623/41207623_1616699835_862.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,auction,,,,,,Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Case CX210,https://www.machineryzone.com/used/crawler-excavator/1/3391/case.html,,,,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41209152/41209152_1616702747_380.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,auction,,,,,,Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Komatsu PC400,https://www.machineryzone.com/used/crawler-excavator/1/3090/komatsu.html,,,,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41209155/41209155_1616702753_216.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,auction,,,,,,Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 330DL,https://www.machineryzone.com/used/crawler-excavator/1/3049/caterpillar.html,,,,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41209156/41209156_1616702755_783.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,auction,,,,,,Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Case CX135,https://www.machineryzone.com/used/crawler-excavator/1/3391/case.html,,,,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41209154/41209154_1616702751_54.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,auction,,,,,,Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 325CL,https://www.machineryzone.com/used/crawler-excavator/1/3049/caterpillar.html,,,,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41209267/41209267_1616702986_740.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,auction,,,,,,Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Hitachi EX100-3,https://www.machineryzone.com/used/crawler-excavator/1/3078/hitachi.html,,,,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41209160/41209160_1616702764_49.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135072/41135072_1615871384_2.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135072/41135072_1615871384_184.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135072/41135072_1615871384_809.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135072/41135072_1615871384_264.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135072/41135072_1615871384_538.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135072/41135072_1615871384_177.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135072/41135072_1615871384_368.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135072/41135072_1615871384_548.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135072/41135072_1615871384_814.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135072/41135072_1615871384_131.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 336FL,https://www.machineryzone.com/used/crawler-excavator/41135072/caterpillar-336fl.html,USA,Caterpillar,336FL,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/304706/41135072/41135072_1615871384_2.jpg,,,,,,,,,,,,,,,,,,,USA,,,Caterpillar Financial Services Corporation,,,,,,,,,,2018
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135073/41135073_1615871389_699.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135073/41135073_1615871389_805.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135073/41135073_1615871389_650.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135073/41135073_1615871389_385.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135073/41135073_1615871389_633.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135073/41135073_1615871389_100.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135073/41135073_1615871389_589.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135073/41135073_1615871389_271.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135073/41135073_1615871389_926.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135073/41135073_1615871389_852.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 336FL,https://www.machineryzone.com/used/crawler-excavator/41135073/caterpillar-336fl.html,USA,Caterpillar,336FL,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/304706/41135073/41135073_1615871389_699.jpg,,,,,,,,,,,,,,,,,,,USA,,,CATERPILLAR FINANCIAL SERVICES CORPORATION,,,,,,,,,,2018
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366101/41135091/41135091_1615872274_791.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366101/41135091/41135091_1615872274_162.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366101/41135091/41135091_1615872274_805.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366101/41135091/41135091_1615872274_420.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366101/41135091/41135091_1615872274_49.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366101/41135091/41135091_1615872274_421.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366101/41135091/41135091_1615872274_583.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366101/41135091/41135091_1615872274_529.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366101/41135091/41135091_1615872274_669.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366101/41135091/41135091_1615872274_891.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 313FL TH,https://www.machineryzone.com/used/crawler-excavator/41135091/caterpillar-313fl-th.html,USA,Caterpillar,313FL TH,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/366101/41135091/41135091_1615872274_791.jpg,,,,,,,,,,,,,,,,,,,USA,,,CAROLINA  TRACTOR,,,,,,,,,,2019
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135076/41135076_1615871469_807.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135076/41135076_1615871469_164.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135076/41135076_1615871469_518.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135076/41135076_1615871469_273.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135076/41135076_1615871469_637.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135076/41135076_1615871469_736.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135076/41135076_1615871469_732.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135076/41135076_1615871469_713.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135076/41135076_1615871469_954.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135076/41135076_1615871469_672.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 336FL,https://www.machineryzone.com/used/crawler-excavator/41135076/caterpillar-336fl.html,USA,Caterpillar,336FL,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/304706/41135076/41135076_1615871469_807.jpg,,,,,,,,,,,,,,,,,,,USA,,,CATERPILLAR FINANCIAL SERVICES CORPORATION,,,,,,,,,,2017
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_477.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_808.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_909.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_141.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_856.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_433.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_373.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_315.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_246.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_788.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 336FL,https://www.machineryzone.com/used/crawler-excavator/41135078/caterpillar-336fl.html,USA,Caterpillar,336FL,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/304706/41135078/41135078_1615871534_477.jpg,,,,,,,,,,,,,,,,,,,USA,,,CATERPILLAR FINANCIAL SERVICES CORPORATION,,,,,,,,,,2016
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_28.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_975.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_757.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_776.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_906.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_640.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_345.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_326.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_359.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_416.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 336FL,https://www.machineryzone.com/used/crawler-excavator/41135077/caterpillar-336fl.html,USA,Caterpillar,336FL,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/304706/41135077/41135077_1615871529_28.jpg,,,,,,,,,,,,,,,,,,,USA,,,CATERPILLAR FINANCIAL SERVICES CORPORATION,,,,,,,,,,2018
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_568.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_389.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_609.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_120.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_865.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_303.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_49.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_158.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_641.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_733.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 336FL,https://www.machineryzone.com/used/crawler-excavator/41135075/caterpillar-336fl.html,USA,Caterpillar,336FL,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/304706/41135075/41135075_1615871463_568.jpg,,,,,,,,,,,,,,,,,,,USA,,,CATERPILLAR FINANCIAL SERVICES CORPORATION,,,,,,,,,,2016
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_95.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_822.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_809.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_290.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_852.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_48.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_537.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_977.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_369.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_639.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 336FL,https://www.machineryzone.com/used/crawler-excavator/41135082/caterpillar-336fl.html,USA,Caterpillar,336FL,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/304706/41135082/41135082_1615871879_95.jpg,,,,,,,,,,,,,,,,,,,USA,,,CATERPILLAR FINANCIAL SERVICES CORPORATION,,,,,,,,,,2017
